Head	B.rowMean	P.rowMean
SZUA-1252	4.444673038	4.439789529
SZUA-1253	36.32175182	38.46830653
SZUA-1254	1.909541275	1.495810467
SZUA-1257	10.12767431	6.44109499
SZUA-1258	0.638117443	0.448901902
SZUA-1262	26.13823067	27.59242651
SZUA-1263	0.369409676	0.390247039
SZUA-1264	0.026515234	0.036675004
SZUA-1266	0.572656403	0.505869916
SZUA-1270	7.957629764	7.108082565
SZUA-1271	0.280444384	0.641340468
SZUA-1276	6.829259065	1.906200647
SZUA-1278	6.510580434	4.782150831
SZUA-1285	4.034747407	5.817123027
SZUA-1287	7.665484999	6.944960731
SZUA-1290	34.72713362	37.87044265
SZUA-1291	16.68156437	16.53879057
SZUA-1292	0.783927242	0.681624581
SZUA-1295	7.124125501	8.356756564
SZUA-1298	0.018191919	0.019917748
SZUA-1301	59.97139117	44.13366858
SZUA-1304	0.374904787	0.385382224
SZUA-1305	8.468993604	6.269147905
SZUA-1306	1.418143378	1.098919906
SZUA-1311	24.45440653	17.9329597
SZUA-1312	0.002218883	0.002574476
SZUA-1314	1.329587436	0.986356309
SZUA-1315	48.18737051	65.08205429
SZUA-1316	37.10383019	35.00713327
SZUA-1318	8.338826623	6.6164965
SZUA-1319	25.31860348	16.65700294
SZUA-1322	0.387473083	0.281343955
SZUA-1323	9.055637703	7.687236709
SZUA-1325	2.075498306	3.149977699
SZUA-1326	6.006980325	5.537778173
SZUA-1327	0.000449739	0.001058563
SZUA-1329	13.86039596	8.899801119
SZUA-1331	6.870199444	4.902604498
SZUA-1332	24.00963506	27.23579243
SZUA-1335	50.54096814	69.41973814
SZUA-1337	5.875667143	7.512866438
SZUA-1338	0.107818863	0.113157113
SZUA-1346	35.41766735	38.66164245
SZUA-1347	3.195368938	2.905655238
SZUA-1356	16.31908629	12.0253227
SZUA-1361	9.134214296	8.125630757
SZUA-1363	114.3530419	127.4032143
