Head	B.rowMean	P.rowMean
SZUA-1252	13.42399053	37.0831794
SZUA-1253	28.96437412	42.61084082
SZUA-1254	13.80727792	20.84433803
SZUA-1257	9.381408778	18.41524445
SZUA-1258	10.04364778	19.27932918
SZUA-1262	32.99868006	33.68287282
SZUA-1263	14.10437403	29.58780763
SZUA-1264	27.07588115	0.150273715
SZUA-1266	34.15842933	24.01091553
SZUA-1270	15.2402676	26.30987146
SZUA-1271	15.58002087	31.93697638
SZUA-1276	30.30520485	24.52040094
SZUA-1278	36.56448019	25.1865858
SZUA-1285	23.30285343	49.98872865
SZUA-1287	22.54343318	41.75306512
SZUA-1290	24.218447	37.77770801
SZUA-1291	105.1068848	88.43729839
SZUA-1292	13.03767908	26.64777713
SZUA-1295	17.0415658	27.33345973
SZUA-1298	15.25711444	31.06532102
SZUA-1301	90.73560534	47.85450451
SZUA-1304	28.34047163	20.86137671
SZUA-1305	37.14718679	24.13033236
SZUA-1306	11.79394738	17.52913646
SZUA-1311	30.82509109	24.21505471
SZUA-1312	8.850322834	34.16434696
SZUA-1314	12.90884702	24.5269499
SZUA-1315	94.04741131	167.6474432
SZUA-1316	9.094300621	10.70649198
SZUA-1318	22.06804433	30.23230548
SZUA-1319	27.79440017	41.8932483
SZUA-1322	32.33373237	79.88912809
SZUA-1323	28.95446493	59.45854884
SZUA-1325	10.98472923	16.11509956
SZUA-1326	16.16731516	40.71511508
SZUA-1327	1.407389925	12.2625464
SZUA-1329	12.42816674	22.75036918
SZUA-1331	37.84137152	24.62278707
SZUA-1332	29.80939522	46.68611787
SZUA-1335	270.3227746	418.7120801
SZUA-1337	16.41062217	28.17757629
SZUA-1338	28.94231756	20.02034596
SZUA-1346	27.67419391	41.10438356
SZUA-1347	31.49422198	26.65463148
SZUA-1356	51.31820216	38.06530963
SZUA-1361	41.05330655	18.97538385
SZUA-1363	55.76297515	180.1557084
