Head	CymD.C.HB	CymD.C.HRP	CymD.C.LB	CymD.C.LRP	CymD.C.MRP	CymS.C.B	CymS.C.HRP.1	CymS.C.HRP.2	CymS.C.LRP.1	CymS.C.LRP.2	CymS.C.NBB.1	CymS.C.NBB.2
SZUA-1089	72.7532045011117	73.182283978309	6.17281911830886	48.4038003846891	37.8087360200983	55.7600615249182	165.073695730593	65.6357120145569	37.8728478815982	41.4487660260206	24.1995729050336	10.3692937033604
SZUA-1091	60.2909634625523	48.6701356365166	28.3257519104985	98.6386735168993	134.406255072528	263.691850378916	532.203847687898	166.795417477233	42.6491758165039	120.187352660459	64.9704236067685	18.5919473234915
SZUA-1093	945.928137609329	1528.78855765477	99.720847444464	899.823230825979	1338.24608275015	419.270932077532	711.905352992803	225.59689173165	1367.56186817199	138.091351478575	87.6497682465887	16.3673348465603
SZUA-1094	614.870651683177	378.673402385026	178.311053258283	240.748830902643	406.461035995569	784.336264221977	250.198292200028	104.355647337285	289.281224683257	60.3440348401725	38.5831849627245	0.726848021334554
SZUA-1095	26.9221787966655	12.1845901718513	11.2143771236676	42.1951694780953	46.6598026854631	54.7989547308983	145.146229897185	63.7558769767278	10.5433063758239	57.5325799391036	10.96613631424	17.3938609450838
SZUA-1096	345.909428836075	137.571679502766	15.233116440421	370.480925489668	214.831519854699	39.4673686629986	85.5959904851177	36.4557679872562	101.128293832195	27.8177932974744	37.0388086134746	9.20550229449907
SZUA-1097	59.0949561794349	135.107765107933	10.2110514980989	52.6605170586368	47.8664398127801	98.6956505818929	91.2001546025452	43.066141299399	49.4654867408819	25.0579812978575	33.7853198111476	3.38257231429787
SZUA-1099	144.812947170765	150.131199686213	14.1529975776089	197.484374907202	155.013279360836	109.146919537674	179.356029260897	60.1403871580623	130.726657623218	43.8814839575769	16.416522969207	4.52566973192233
SZUA-1100	248.067763401812	150.850302881783	99.4226930009705	592.790793088861	797.875937807422	336.254071384603	339.152433271273	119.003621151632	334.729065352049	91.7787044054508	43.7773587670628	20.3059880796957
SZUA-1102	92.8653876389976	18.3245643146895	296.830988626993	71.4924719290237	59.1340795594211	255.74351489429	140.985191758502	154.917749554483	25.3739245570786	304.124188400864	244.974420343446	365.204441874882
SZUA-1103	3682.70508866427	331.852371004456	18439.2741976592	3527.91506391692	7245.36528189871	11232.6579185891	6589.81596612907	7296.43398533971	180.029989400125	18823.7393059899	14064.2908973273	17977.9121321881
SZUA-1104	910.021607063163	1021.25497638898	59.0933773268305	736.567044063432	643.783262442409	918.648543333438	1932.75243924815	544.661934476778	595.039055478412	299.214194030003	178.271461332508	38.4171459046491
SZUA-1105	36.5416340499071	48.3207235094729	6.9946350791533	33.8131652469102	24.7538511637625	118.555300887929	103.960264158692	42.2351283267614	22.9189638203409	35.7626961376743	10.3892073423744	5.71336271003095
SZUA-1116	93.1102559076952	132.990269654515	6.6931069359001	109.563685589599	110.337298655309	28.5734898015613	81.0869622333185	39.5573343451199	70.1567911802849	18.5745631745713	39.9413147154891	6.5638057015334
SZUA-1117	577.007075548275	320.89793533224	31.8335949813725	632.035737294092	349.124304253523	116.412137273123	260.077447008388	113.145689542559	203.62275295002	75.7853239079194	86.4132951701805	16.7352886899897
SZUA-1119	218.574894137038	657.28632334089	22.3880327542549	179.583887795955	475.695704423029	98.3899775383478	142.258228322919	48.6439604438518	465.03379699302	23.6781184786277	94.3614254029796	5.16439156307729
SZUA-1120	168.733024967506	3937.08373421998	108.867860888521	503.731103116021	697.178718272768	32.8757958701924	1191.35269832399	4444.35314889413	7496.04929980495	373.614593639021	227.490671743619	46.1277593544894
SZUA-1123	715.309074657533	662.962293466182	36.3769809015031	649.840415261019	624.100073908042	136.361730348731	192.552952560674	76.0968190969077	589.823502212951	56.1585633169711	73.977895564272	12.7415625438143
SZUA-1124	190.451738359912	198.911066762488	74.192563416946	408.462239950515	372.535949621358	62.6366093829807	3171.60898991339	742.785411304773	161.535223410889	736.144924551721	27.8786008126611	11.0860343529435
SZUA-1125	351.878507526258	159.348986126558	235.695349177377	545.155054815937	685.581181671219	769.41207818197	714.332050433938	499.834349663864	236.612746670873	332.388201535325	206.094972943156	228.362079639921
SZUA-1128	499.686482453684	381.818571946705	50.9218657472386	497.191651883528	275.091524621366	337.61502980431	346.500568864318	104.791884119071	329.961330344935	42.2067641601783	20.03435327384	6.17244857450341
SZUA-1129	161.690417056813	71.9716907456924	192.8961877361	525.11880402552	602.477876660111	336.995319928444	262.196272447374	162.125249615895	139.719850736063	225.093729513258	205.109749578911	225.694927291241
SZUA-1130	28.1761263890689	420.847011402175	32.9121544166289	50.6291465317535	69.3790788192198	20.5936208301884	338.501072785408	861.025182944771	815.362503068978	213.169462295829	87.7910665660437	31.9431637468772
SZUA-1132	221.149826761252	251.351819343907	22.920175428283	163.137161245137	153.424904265138	115.803536650289	107.315354002511	35.6985634419553	241.317534368689	26.7813613264843	45.8280373506432	3.96978987252072
SZUA-1133	22.0608592084132	55.1435076192345	3.08214059245681	13.2055692487997	29.1917531637091	107.61730548634	86.0911006912732	53.2497475484577	19.2693568593349	32.240088721863	28.0592446156041	1.75460705527744
SZUA-1136	293.822411232366	415.88453493932	25.3082584774649	233.508964928444	272.448872268912	221.084390968959	168.511912251652	55.7629167649456	327.784140760748	35.1636873063657	15.8981980872127	6.12268426411177
SZUA-1139	2046.54293279424	1897.675340772	183.860462611545	1742.1818762035	766.177178583521	287.204147954271	270.804151253862	72.7120385398083	1359.48015622982	67.2508789509774	66.3730515560388	10.2680922172259
SZUA-1140	244.356080541116	128.149595673132	18.1446057271908	367.273608309722	378.137600516275	52.8464925346433	149.709512630108	55.7058015849967	111.739736437793	69.1879185989195	22.680919088828	5.15921568657856
SZUA-1141	290.31907416161	303.916255023646	33.6339667099287	377.190242137578	299.993621019991	168.385414959629	491.451062834359	134.831060122833	212.845231711702	122.119375988573	114.536047686586	18.0065393015415
SZUA-1142	290.826723400178	390.36917762587	47.9731463472871	203.672628214075	138.455261728172	196.750372454879	168.962118820587	69.273933509252	186.579846918735	57.280665387136	41.8604853554346	11.9081885357253
SZUA-1145	75.6957822094547	186.914948310323	10.8462248646038	75.7287781518977	79.1544622703578	37.7622659141681	21.241607591236	8.09222927006065	119.374815173268	8.51420142222553	17.8506241247777	1.81422613219516
SZUA-1146	202.198873100613	149.872244128146	165.495099266909	1136.30771962878	1391.04937697041	264.329728609319	232.751431588736	198.32128732697	234.203689619951	182.50983155579	113.498614333762	123.707501205667
SZUA-1147	291.444611745661	2485.07743044989	890.324110613138	280.210299720769	943.459844919545	623.733281569487	10648.0621380087	24360.5078405921	4824.48155836532	1932.22977483337	1799.44384431985	1049.99876046439
SZUA-1148	238.299432536573	344.624682620381	1129.62136275228	310.28352905362	2161.9188433294	1468.32158942159	492.340025269393	528.634256258478	237.855439925071	3043.68639700086	1149.29103100878	1536.72967333515
SZUA-1150	55.3791263896385	14.1969727111138	82.2827283397706	81.3424655898511	301.297358557771	67.0113323735169	211.350563539388	92.5820285307468	21.882852356625	139.952692252581	65.2379498940308	101.011963592551
