Head	B.Cym.mean	P.Cym.mean	P.GyBn.mean	B.Lau.mean	P.Lau.mean
SZUA-1120	10.56293519	60.94504887	89.72961268	627.2792208	419.2665709
SZUA-1123	43.83009993	55.48688044	0.273229973	1.639759881	0.772425247
SZUA-1124	42.857481	89.2743877	16.04762509	14.11203279	18.88313358
SZUA-1125	365.4378925	240.9583282	524.6389721	421.7876547	585.6516907
SZUA-1128	18.66647581	17.89091606	0.094955439	2.939256053	2.696205623
SZUA-1129	93.26134727	68.96718393	20.72261003	100.6113256	46.96253988
SZUA-1130	3.720295983	24.00877592	6.579385601	41.52947394	28.12889609
SZUA-1132	24.70110033	19.76455474	0.431001756	1.435514935	1.340358812
SZUA-1133	65.6101932	48.49341932	13.3795002	43.13652972	21.57435515
SZUA-1136	52.34001409	39.74781952	3.632043888	5.160382981	4.589966921
SZUA-1139	130.842737	104.5179954	0.054185532	2.835282705	2.72208516
SZUA-1140	11.42136399	19.04627085	0.891474447	14.02921369	14.32039181
SZUA-1141	42.06026989	39.03242382	7.754693742	15.87528928	23.67758283
SZUA-1142	110.0662715	84.35970198	105.2233547	9.825556367	14.07786642
SZUA-1145	42.64372668	39.00073685	0.900684823	0.657620385	0.652089342
SZUA-1146	88.08118469	66.27820437	31.21795073	151.8772138	62.92946741
SZUA-1147	3.530223665	71.6067563	0.721576029	0.594151127	0.506622112
SZUA-1148	0.074932284	27.48559054	0.001240904	0.020822374	0.032942164
SZUA-1150	32.58696727	34.62299858	1.683429022	8.051115839	6.629136399
SZUA-1152	37.68865496	42.67113872	0.676924708	21.97667435	34.06241003
SZUA-1153	53.06274873	49.00890408	0.66686578	6.050309656	6.58657804
SZUA-1154	41.20252163	59.10869509	29.66196861	367.7797232	254.1375287
SZUA-1156	157.3947705	182.8698351	0.813688028	11.72585127	13.16029135
SZUA-1157	42.59942746	31.52948032	1.018270941	57.71351623	29.78222482
SZUA-1158	98.08165981	66.4499264	1.6900478	142.4709506	218.5003301
SZUA-1159	80.70188852	92.44150973	3.461031709	31.43433389	49.94937439
SZUA-1160	25.74728038	46.59324176	1.277429684	2.097733163	3.64472266
SZUA-1161	48.26705203	44.0321584	2.130158133	0.830531328	0.789021103
SZUA-1164	54.85373805	43.91900766	5.642380566	62.5677391	30.77613825
SZUA-1165	448.7487469	296.8992634	527.5611244	490.7850158	686.1258746
SZUA-1167	92.29145339	61.67450939	0.51974844	12.41298335	7.467549789
SZUA-1168	38.347194	50.4950538	0.157803421	1.514847573	0.661450702
SZUA-1169	36.72043077	29.12036941	0.11369567	2.899572285	4.100979051
SZUA-1172	42.33733093	40.82905285	0.102147248	3.188124368	3.165006687
SZUA-1174	52.20478848	33.96011888	64.93897433	5.385220574	3.826883206
SZUA-1175	106.3685105	68.09077552	1.474377584	3.206854052	2.944911176
SZUA-1177	46.35478772	39.11134897	3.266827492	10.19023247	16.21435464
SZUA-1178	55.24786149	41.76731179	2.245412395	3.645043524	3.365830387
SZUA-1180	219.9263926	313.2130367	32.10010912	357.3514572	659.3137694
SZUA-1181	66.54999844	75.5633145	0.841371037	3.610900576	3.965019762
SZUA-1182	125.4614196	96.78726577	22.7774385	124.1612948	103.4711238
SZUA-1183	189.7775186	140.0428951	0.139101677	4.648956062	3.850489105
SZUA-1184	93.70466517	66.22639195	5.797806135	171.8170392	52.85890536
SZUA-1185	134.7351216	118.6204819	1.253743184	15.23563445	10.70444368
SZUA-1186	69.21893509	51.49243744	13.11052824	57.0825662	25.77783832
SZUA-1189	197.8924401	152.9985879	0.958650024	17.27425466	11.4853353
SZUA-1190	117.1202842	89.37250445	5.499190443	2.052110627	0.985630528
SZUA-1191	3.264030124	3.707718389	16.4477932	11.49542004	19.93190742
SZUA-1192	13.46674827	8.719393165	8.937320334	11.57391317	21.92259167
SZUA-1194	0.167434332	0.110978946	1.38282873	28.78155259	20.04301149
SZUA-1195	4.791190869	4.790166924	0.441795193	13.70311384	38.44893671
SZUA-1196	1.820384057	2.219334738	0.229000893	10.73681335	16.05876824
SZUA-1197	1.661108765	1.601477797	2.509561175	15.83845084	29.56631846
SZUA-1199	29.92677186	32.99238416	0.772525295	25.06663131	39.51980463
SZUA-1200	0.015716255	0.014505654	0.106737108	12.29738264	25.66312635
SZUA-1202	28.31323655	20.87707356	0.649212626	73.96220411	35.73801405
SZUA-1204	33.90796779	28.41411455	5.176787763	13.91584421	21.91017702
SZUA-1205	9.025332664	6.425856984	3.610106021	40.88055363	26.75108266
SZUA-1206	0.777882878	0.663949847	0.639187096	11.97232584	17.98457366
SZUA-1208	27.74704922	24.30015915	3.840708808	11.61950684	18.81287819
SZUA-1210	0.411805003	0.469033738	0.042596822	0.280038949	88.65593964
SZUA-1212	0.040672934	0.105918043	19.56734188	10.59569438	23.66312887
SZUA-1213	24.6793158	18.05245048	10.1112319	29.81988594	22.50070918
SZUA-1222	0.537895522	0.587181517	0.165576919	0.059151395	8.131201187
SZUA-1223	4.833933315	6.52031821	2.286172708	12.09810794	22.87060182
SZUA-1226	41.40623434	32.35680316	1.579818351	31.5213391	18.81967427
SZUA-1228	32.50548059	30.70321854	0.559395644	8.549649266	10.31968333
SZUA-1233	12.30418999	18.69718312	1.733787915	20.30700202	21.26258644
SZUA-1234	0.249810285	0.310125629	0.515562788	13.23430558	33.70151711
SZUA-1235	0.206612765	0.191935767	0.097351673	15.25028316	32.94018859
SZUA-1236	40.83764756	28.16853392	5.0104401	106.4136515	72.65458038
SZUA-1240	5.435434416	5.441288512	1.16247808	9.470726821	15.03967821
SZUA-1241	2.484362574	2.487540976	24.10002398	10.33163162	12.96223885
SZUA-1242	3.150298015	5.394007972	7.104792001	20.84028359	47.86778017
SZUA-1243	0.150769625	0.119506449	0.415607557	6.958367939	15.55905302
SZUA-1246	0.019011171	0.026239741	0.037067826	721.8154987	2.374415764
SZUA-1249	25.99307531	19.35970037	11.0974587	30.6862464	25.39703468
